,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
44,DKJ11 Rusun Penjaringan,2025-03-06,23.349166666666665,-6.128,106.7963,UdaraJakarta,27.02569,28.50903846062399,26.38655168932704
45,DKJ11 Rusun Penjaringan,2025-03-06,23.349166666666665,-6.128,106.7963,UdaraJakarta,27.02569,28.50903846062399,26.38655168932704
46,DKJ12 Jakarta Equestrian Pulomas,2025-03-06,21.09416666666666,-6.1784,106.8878,UdaraJakarta,28.178488,25.924208871317717,25.007039795520974
47,DKJ12 Jakarta Equestrian Pulomas,2025-03-06,21.09416666666666,-6.1784,106.8878,UdaraJakarta,28.178488,25.924208871317717,25.007039795520974
48,DKJ12 Jakarta Equestrian Pulomas,2025-03-06,21.09416666666666,-6.1784,106.8878,UdaraJakarta,28.185047,25.98217457964491,24.846043662984904
49,DKJ12 Jakarta Equestrian Pulomas,2025-03-06,21.09416666666666,-6.1784,106.8878,UdaraJakarta,28.185047,25.98217457964491,24.846043662984904
50,DKJ13 PPOP Ragunan,2025-03-06,32.725,-6.3058,106.8269,UdaraJakarta,35.57681,35.65352608892652,36.190861502744525
51,DKJ13 PPOP Ragunan,2025-03-06,32.725,-6.3058,106.8269,UdaraJakarta,35.555824,35.594996923870504,36.17558676186951
52,DKJ14 Pulau Panggang,2025-03-06,3.771666666666666,-5.7388,106.6014,UdaraJakarta,3.5852344,6.321956526525657,3.0973153887325786
53,DKJ14 Pulau Panggang,2025-03-06,3.771666666666666,-5.7388,106.6014,UdaraJakarta,3.5852344,6.321956526525657,3.0973153887325786
54,DKJ14 Pulau Panggang,2025-03-06,3.771666666666666,-5.7388,106.6014,UdaraJakarta,3.5852344,6.305185931688396,3.0973153887325786
55,DKJ14 Pulau Panggang,2025-03-06,3.771666666666666,-5.7388,106.6014,UdaraJakarta,3.5852344,6.305185931688396,3.0973153887325786
56,DKJ16 Hutan Kota Srengseng,2025-03-06,36.245416666666664,-6.2105,106.7644,UdaraJakarta,30.240385,35.52427748468187,31.8307497424912
57,DKJ16 Hutan Kota Srengseng,2025-03-06,36.245416666666664,-6.2105,106.7644,UdaraJakarta,30.351063,35.47072226524353,31.82160120958594
58,DKJ17 Jl. DI Panjaitan,2025-03-06,48.63249999999999,-6.2333,106.8766,UdaraJakarta,33.76043,35.082050782309636,33.095582434278924
59,DKJ17 Jl. DI Panjaitan,2025-03-06,48.63249999999999,-6.2333,106.8766,UdaraJakarta,33.871105,34.85098718007406,33.070917916676535
60,DKJ18 Jl. Fatmawati,2025-03-06,46.09333333333333,-6.2795,106.7974,UdaraJakarta,37.709766,38.71495901849536,36.604279754221885
61,DKJ18 Jl. Fatmawati,2025-03-06,46.09333333333333,-6.2795,106.7974,UdaraJakarta,37.801937,38.7829317633311,36.388259786295635
62,DKJ19 Jl. Pasar Minggu,2025-03-06,56.15958333333333,-6.2776,106.8426,UdaraJakarta,33.83982,33.23601785129971,33.8040047854586
63,DKJ19 Jl. Pasar Minggu,2025-03-06,56.15958333333333,-6.2776,106.8426,UdaraJakarta,33.818836,33.31401663780212,33.78960983413963
64,DKJ20 Kelapa Gading (SPKU),2025-03-06,32.38458333333333,-6.154,106.9105,UdaraJakarta,33.040863,34.923507290615774,32.925899403786694
65,DKJ20 Kelapa Gading (SPKU),2025-03-06,32.38458333333333,-6.154,106.9105,UdaraJakarta,33.040863,34.923507290615774,32.925899403786694
66,DKJ20 Kelapa Gading (SPKU),2025-03-06,32.38458333333333,-6.154,106.9105,UdaraJakarta,33.04896,34.97569368070996,32.81075173874496
67,DKJ20 Kelapa Gading (SPKU),2025-03-06,32.38458333333333,-6.154,106.9105,UdaraJakarta,33.04896,34.97569368070996,32.81075173874496
68,DKJ21 Kota Tua,2025-03-06,30.625416666666666,-6.1345,106.8132,UdaraJakarta,30.08001,30.45715365685128,30.01475261622553
69,DKJ21 Kota Tua,2025-03-06,30.625416666666666,-6.1345,106.8132,UdaraJakarta,30.08001,30.45715365685128,30.01475261622553
70,DKJ21 Kota Tua,2025-03-06,30.625416666666666,-6.1345,106.8132,UdaraJakarta,30.340313,30.418499274563224,29.970420430883696
71,DKJ21 Kota Tua,2025-03-06,30.625416666666666,-6.1345,106.8132,UdaraJakarta,30.340313,30.418499274563224,29.970420430883696
72,DKJ22 PT JIEP Pulogadung,2025-03-06,45.010416666666664,-6.2067,106.9197,UdaraJakarta,37.8681,35.74197984165616,37.638643923090676
73,DKJ22 PT JIEP Pulogadung,2025-03-06,45.010416666666664,-6.2067,106.9197,UdaraJakarta,37.847115,35.75840225961473,37.630938691120086
74,DKJ23 Pulau Pramuka,2025-03-06,2.3120833333333333,-5.7458,106.6138,UdaraJakarta,3.5852344,6.321956526525657,3.0973153887325786
75,DKJ23 Pulau Pramuka,2025-03-06,2.3120833333333333,-5.7458,106.6138,UdaraJakarta,3.5852344,6.321956526525657,3.0973153887325786
76,DKJ23 Pulau Pramuka,2025-03-06,2.3120833333333333,-5.7458,106.6138,UdaraJakarta,3.5852344,6.305185931688396,3.0973153887325786
77,DKJ23 Pulau Pramuka,2025-03-06,2.3120833333333333,-5.7458,106.6138,UdaraJakarta,3.5852344,6.305185931688396,3.0973153887325786
78,"DKJ24 Jl Mesjid Al Alam, Marunda",2025-03-06,33.90833333333334,-6.095,106.96,UdaraJakarta,33.492172,33.28151890599001,33.35593780393533
79,"DKJ24 Jl Mesjid Al Alam, Marunda",2025-03-06,33.90833333333334,-6.095,106.96,UdaraJakarta,33.492172,33.28151890599001,33.35593780393533
80,"DKJ24 Jl Mesjid Al Alam, Marunda",2025-03-06,33.90833333333334,-6.095,106.96,UdaraJakarta,33.492172,33.28151890599001,33.34070843467573
81,"DKJ24 Jl Mesjid Al Alam, Marunda",2025-03-06,33.90833333333334,-6.095,106.96,UdaraJakarta,33.492172,33.28151890599001,33.34070843467573
82,DKJ25 Stadion Olah Raga JIS,2025-03-06,25.920833333333334,-6.1248,106.86,UdaraJakarta,26.315317,25.903798254207732,25.994143571927363
83,DKJ25 Stadion Olah Raga JIS,2025-03-06,25.920833333333334,-6.1248,106.86,UdaraJakarta,26.315317,25.903798254207732,25.994143571927363
84,DKJ25 Stadion Olah Raga JIS,2025-03-06,25.920833333333334,-6.1248,106.86,UdaraJakarta,26.298866,25.878403479075455,25.85045162356333
85,DKJ25 Stadion Olah Raga JIS,2025-03-06,25.920833333333334,-6.1248,106.86,UdaraJakarta,26.298866,25.878403479075455,25.85045162356333
86,DKJ26 Taman Delonix,2025-03-06,44.90916666666667,-6.3468,106.8695,UdaraJakarta,34.810577,33.89917677243551,33.08352565758531
87,DKJ26 Taman Delonix,2025-03-06,44.90916666666667,-6.3468,106.8695,UdaraJakarta,34.777023,33.794132538901444,33.0774136525445
88,DKJ27 Taman Tebet Ecopark,2025-03-06,36.61708333333334,-6.2372,106.8529,UdaraJakarta,37.234844,36.51407155566746,35.47121690240792
89,DKJ27 Taman Tebet Ecopark,2025-03-06,36.61708333333334,-6.2372,106.8529,UdaraJakarta,37.27174,36.236826820373544,35.48225049366502
90,DKJ28 Terminal Kalideres,2025-03-06,36.98833333333334,-6.1545,106.7052,UdaraJakarta,31.178684,31.872847697999738,29.120690237498014
91,DKJ28 Terminal Kalideres,2025-03-06,36.98833333333334,-6.1545,106.7052,UdaraJakarta,31.1577,31.742158768971755,29.113673439191174
