,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
57,Jeruk Purut,2025-10-04,51.57142857142857,-6.2842,106.8118,IQAir,45.63842,42.8872412723965,45.625983105061735
58,Jimbaran 2,2025-10-04,43.94444444444444,-6.1201,106.8571,IQAir,42.50013,42.922071033053925,43.24215634504721
59,Jimbaran 2,2025-10-04,43.94444444444444,-6.1201,106.8571,IQAir,42.618614,42.9585288365682,43.28388472970654
60,KRN,2025-10-04,43.142857142857146,-6.1439,106.899,IQAir,42.31692,42.76321281941669,43.76561306229253
61,KRN,2025-10-04,43.142857142857146,-6.1439,106.899,IQAir,42.211796,42.70479018969174,43.7708900956652
66,Kemang Dalam IX,2025-10-04,46.5,-6.2683,106.8192,IQAir,38.962643,38.96136057930667,38.96260815563125
67,Kemang Timur V,2025-10-04,45.5,-6.263,106.8259,IQAir,38.962643,38.96136057930667,38.96260815563125
68,Kemang V,2025-10-04,46.8,-6.2631,106.8205,IQAir,38.962643,38.96136057930667,38.96260815563125
69,Kemayoran,2025-10-04,44.688235294117646,-6.1617,106.8414,IQAir,38.962643,38.96136057930667,38.96260815563125
73,Layar Permai PIK,2025-10-04,40.73684210526316,-6.1077,106.753,IQAir,46.19223,43.84932747099135,44.54655551304394
74,Layar Permai PIK,2025-10-04,40.73684210526316,-6.1077,106.753,IQAir,46.11987,43.95563150193957,44.51701177921767
82,"Pulo Mas, Kayu Putih",2025-10-04,44.94117647058823,-6.1834,106.8874,IQAir,43.606937,44.14027685745997,44.72504945260262
83,"Pulo Mas, Kayu Putih",2025-10-04,44.94117647058823,-6.1834,106.8874,IQAir,43.58844,44.12512345917199,44.60107723469775
84,"Pulo Mas, Kayu Putih 2",2025-10-04,42.05,-6.1841,106.8873,IQAir,43.606937,44.14027685745997,44.72504945260262
85,"Pulo Mas, Kayu Putih 2",2025-10-04,42.05,-6.1841,106.8873,IQAir,43.58844,44.12512345917199,44.60107723469775
88,Puretrex Indonesia - Tegal Alur / Kalideres,2025-10-04,45.476190476190474,-6.1175,106.7274,IQAir,41.0488,43.27233491467295,44.743292259218016
89,Puretrex Indonesia - Tegal Alur / Kalideres,2025-10-04,45.476190476190474,-6.1175,106.7274,IQAir,41.0488,43.27233491467295,44.77034051604839
90,Puri Indah,2025-10-04,44.888888888888886,-6.1869,106.7369,IQAir,38.962643,38.96136057930667,38.96260815563125
95,Rembang Bukit,2025-10-04,45.94444444444444,-6.2805,106.7789,IQAir,38.962643,38.96136057930667,38.96260815563125
96,RespoKare Mask - Wisma 76,2025-10-04,35.375,-6.1909,106.798,IQAir,37.762432,41.82900810453626,36.72238992646412
97,RespoKare Mask - Wisma 76,2025-10-04,35.375,-6.1909,106.798,IQAir,36.87081,41.93694498274062,36.67565676187306
100,Semanggi,2025-10-04,37.857142857142854,-6.2171,106.8115,IQAir,38.71829,41.221261331770165,38.52686419164025
101,Semanggi,2025-10-04,37.857142857142854,-6.2171,106.8115,IQAir,38.770287,41.41102281358508,38.596658735078506
106,Simprug THL Area,2025-10-04,48.2,-6.2279,106.7936,IQAir,42.76443,45.20530896112727,45.94606839366132
107,Simprug THL Area,2025-10-04,48.2,-6.2279,106.7936,IQAir,42.76443,45.20530896112727,45.94606839366132
108,Simprug THL Area,2025-10-04,48.2,-6.2279,106.7936,IQAir,42.659306,45.04603206518017,45.68221157819287
109,Simprug THL Area,2025-10-04,48.2,-6.2279,106.7936,IQAir,42.659306,45.04603206518017,45.68221157819287
113,Taman Patra,2025-10-04,45.421052631578945,-6.2362,106.8326,IQAir,43.571785,46.93083914250997,45.92204645814365
114,Taman Patra,2025-10-04,45.421052631578945,-6.2362,106.8326,IQAir,43.56373,46.960474430116726,45.91390600142015
115,Taman Resort Mediterania,2025-10-04,42.050000000000004,-6.12,106.767,IQAir,41.126392,41.88833579610807,42.74157539218822
116,Taman Resort Mediterania,2025-10-04,42.050000000000004,-6.12,106.767,IQAir,41.170135,41.89859894853777,42.51303864174149
119,Tatalogam Tower,2025-10-04,43.8,-6.1891,106.7712,IQAir,38.962643,38.96136057930667,38.96260815563125
122,The RBS - AirVisual Outdoor,2025-10-04,48.666666666666664,-6.2291,106.8024,IQAir,40.24696,41.57160886128744,39.394071109238354
123,The RBS - AirVisual Outdoor,2025-10-04,48.666666666666664,-6.2291,106.8024,IQAir,40.26989,41.77174287796021,39.60158491740132
124,US Embassy in South Jakarta,2025-10-04,2.5714285714285716,-6.2367,106.7932,IQAir,32.935986,27.926322411094347,21.59965854899901
125,US Embassy in South Jakarta,2025-10-04,2.5714285714285716,-6.2367,106.7932,IQAir,32.935986,27.926322411094347,21.59965854899901
126,US Embassy in South Jakarta,2025-10-04,2.5714285714285716,-6.2367,106.7932,IQAir,32.880203,27.733430020160352,20.57614819117255
127,US Embassy in South Jakarta,2025-10-04,2.5714285714285716,-6.2367,106.7932,IQAir,32.880203,27.733430020160352,20.57614819117255
128,"Widya Chandra, JK",2025-10-04,48.757894736842104,-6.2302,106.8147,IQAir,40.591953,41.64339306513468,39.27092858751855
129,"Widya Chandra, JK",2025-10-04,48.757894736842104,-6.2302,106.8147,IQAir,40.643894,41.78100041919284,39.47844239568151
